"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(1,5)) []","im(S(1,6)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(2,5)) []","im(S(2,6)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(3,5)) []","im(S(3,6)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []","im(S(4,5)) []","im(S(4,6)) []","im(S(5,1)) []","im(S(5,2)) []","im(S(5,3)) []","im(S(5,4)) []","im(S(5,5)) []","im(S(5,6)) []","im(S(6,1)) []","im(S(6,2)) []","im(S(6,3)) []","im(S(6,4)) []","im(S(6,5)) []","im(S(6,6)) []"
35,-0.734135380947764,-0.0845682171432922,0.000168278226244031,-0.000333019770941774,0.00910781635380931,0.328709204545124,-0.0845682171432826,-0.731631518540076,0.000718191944368261,-0.000340476932867692,0.331876608459734,0.00432243055622254,0.000168278226244061,0.000718191944369553,0.161192796847055,7.16838978308889E-05,-0.00109925902433479,0.00062619697646029,-0.000333019770941567,-0.000340476932866216,7.16838978308687E-05,0.158845224380831,0.000780782963044272,-0.00114400325648904,0.00910781635380351,0.33187660845972,-0.00109925902433492,0.000780782963044397,0.360952741128004,-0.0709830432873853,0.328709204545144,0.00432243055623446,0.000626196976460128,-0.0011440032564885,-0.0709830432873605,0.355109991548151
36,-0.503087835892308,-0.531586174833523,0.00102866818888607,0.000114711355035853,0.113981243105351,0.150676765874108,-0.531586174833738,-0.501174033568758,-0.000108476570661859,0.000990928254291756,0.147392545109659,0.116000696073171,0.00102866818888616,-0.000108476570661972,0.166261159189388,7.5165680613056E-05,-0.00104355501805083,0.000682029974396769,0.000114711355036289,0.000990928254291899,7.51656806130653E-05,0.163743974239545,0.000817953573249242,-0.00141431542277628,0.113981243105335,0.147392545109676,-0.00104355501805018,0.000817953573249452,0.0217571647742065,-0.075790529457189,0.150676765874132,0.116000696073244,0.000682029974396506,-0.00141431542277724,-0.0757905294571364,0.0333784565786429
37,0.103621716609614,-0.192956697306928,0.000600377053492021,9.62260853541731E-05,0.0853061718388788,-0.164831927338785,-0.192956697306922,0.104546684352644,0.000320651664410229,0.000752553438119952,-0.193147436399396,0.0736227798697107,0.000600377053492033,0.000320651664410455,0.171145560251232,0.000109711813403096,-0.0019697067052243,-0.00161336064606108,9.62260853541756E-05,0.000752553438119936,0.000109711813403038,0.168668146819834,-0.00238018210259698,-0.00318875400050757,0.0853061718388751,-0.193147436399423,-0.00196970670522325,-0.00238018210259757,0.199532712481759,-0.209268053648147,-0.164831927338738,0.0736227798697062,-0.0016133606460605,-0.00318875400051622,-0.209268053648157,0.188322487209327
38,-0.795400984689364,-0.0282378069537278,-0.000592791661491259,-0.00248603720156984,0.0950499938027378,-0.445612257094589,-0.0282378069537298,-0.800849584728424,-0.000531800904724434,-0.000679454740902644,-0.454722369239627,0.100973521327845,-0.000592791661491562,-0.00053180090472498,0.177205278436246,-0.000379030291761909,-0.00160537756028101,0.00030994345011076,-0.00248603720156934,-0.000679454740902667,-0.000379030291762261,0.173787384315014,0.000546485300769339,-0.00101561485115521,0.0950499938027383,-0.454722369240004,-0.00160537756028331,0.000546485300769449,0.232904115212135,-0.297478012587132,-0.445612257095358,0.100973521327845,0.000309943450110831,-0.00101561485115486,-0.297478012587143,0.240396461103903
39,-0.580109047701053,0.0476127795572388,0.000468135210941473,-0.00159684530211406,-0.0244422998772087,0.128776950414593,0.047612779557244,-0.606860872605948,-0.000400404624655017,0.00281647540586261,0.103532733214299,-0.0361619336690139,0.000468135210941604,-0.00040040462465493,0.189595474820729,-2.45387330152616E-05,-0.000156287978237171,0.000592827870939355,-0.00159684530211366,0.00281647540586229,-2.45387330152487E-05,0.178601404681919,0.00590853807818344,-0.00094017059357635,-0.0244422998771759,0.103532733214193,-0.000156287978236899,0.00590853807818367,0.361462517373614,-0.275532994517329,0.128776950414445,-0.0361619336690128,0.000592827870939995,-0.000940170593576433,-0.275532994517331,0.341011766027213
40,-0.255382376797096,0.286234614086606,-0.00113592347179003,0.00366591065903055,0.0229063547000976,-0.19618502063625,0.286234614086603,-0.264019250056997,0.000137445786054738,-0.00310475894024874,-0.188398999505048,0.0340821675458136,-0.00113592347178956,0.000137445786054748,0.195405094213809,-1.24960454504927E-05,3.57262321364605E-07,0.000308074750897016,0.00366591065903271,-0.00310475894024902,-1.24960454505449E-05,0.183458420356736,0.00729194148682001,-0.00159998279111255,0.0229063547000979,-0.188398999503897,3.57262321965728E-07,0.00729194148682012,0.293569107869216,-0.118844184572013,-0.196185020635471,0.0340821675458099,0.000308074750896106,-0.00159998279111224,-0.118844184572028,0.293894616220553
41,0.193889491345512,0.449412024624129,6.73986056712342E-05,-4.5910698978055E-05,0.086744299903989,0.0645871111199383,0.449412024624103,0.206043105642478,0.000361758437755849,0.00229011111667392,0.0602585176296395,0.0791147281623529,6.7398605671243E-05,0.000361758437756248,0.200993464375129,4.65393646715278E-05,-0.00054238549444189,-0.000278645095068989,-4.5910698979888E-05,0.0022901111166735,4.65393646715028E-05,0.18801199980921,0.00625138235445654,0.00205847461589196,0.0867442999040663,0.0602585176294942,-0.000542385494442849,0.0062513823544569,0.111643057613576,-0.0280739385263843,0.0645871111198298,0.0791147281623176,-0.000278645095069147,0.00205847461589849,-0.028073938526396,0.0946170184514911
42,0.438898707101134,-0.141667045142147,0.00109327517355074,0.000332215202484599,0.0522720725833259,-0.0114422269184766,-0.14166704514216,0.449999594434839,6.16576084487894E-05,-0.00274156859755051,0.000983819214434772,0.0495505263122318,0.0010932751735521,6.16576084487169E-05,0.206035267200647,0.000128990304025492,0.000772392219567773,0.00162167585329412,0.000332215202485006,-0.00274156859754999,0.000128990304025537,0.192779043631252,0.0087698897883768,-0.00383309463059567,0.0522720725833411,0.000983819214571066,0.000772392219597717,0.00876988978837645,0.211124058267818,-0.152278224871582,-0.0114422269181609,0.0495505263122235,0.00162167585330501,-0.00383309463059555,-0.152278224871627,0.190364739881348
43,0.360315305255536,-0.0396884769859145,-5.02062990723597E-06,0.000776933975927204,0.0479062097530317,-0.420079414004542,-0.0396884769859218,0.361698710456324,0.000128849467342359,-0.00168678604821955,-0.381278605095093,0.0479239563210382,-5.02062990664443E-06,0.0001288494673424,0.212017187956349,0.000189529405619901,-8.20751492187663E-05,0.000582264472249807,0.000776933975927338,-0.00168678604821929,0.000189529405619938,0.197880476586572,0.00453136178158489,-0.00286401823073256,0.0479062097530345,-0.381278605095572,-8.20751492198258E-05,0.00453136178158525,0.292346682900943,-0.120105923015776,-0.42007941400451,0.0479239563210323,0.000582264472248884,-0.00286401823073278,-0.120105923015795,0.280089097081507
44,0.145959965873029,-0.0372230528039448,-0.000322979004439632,0.00107758626216475,0.0220169263670896,-0.425851539117121,-0.0372230528039446,0.144392102195947,0.000140161314032282,-0.00164611460084048,-0.42548947707117,0.0226879134477794,-0.000322979004439499,0.00014016131403233,0.218027342873258,0.000206189338897003,-0.000524765199822266,0.000348961063121474,0.00107758626216751,-0.00164611460084058,0.000206189338896992,0.203161789535077,0.00191020915345699,-0.00293522205625754,0.0220169263670882,-0.425489477071159,-0.000524765199823818,0.00191020915345696,0.249805036360427,-0.0781222813659663,-0.425851539117127,0.0226879134477753,0.000348961063120829,-0.00293522205625909,-0.0781222813659743,0.218414911482636
45,-0.403173405332241,0.170118859182032,-0.000357564699702572,-0.000836044837656624,-0.173103563424184,-0.381299121122952,0.170118859182042,-0.411198654347458,0.000108022482418387,0.00451302608457115,-0.37460864098187,-0.169812073546089,-0.000357564699701577,0.000108022482418026,0.221766866931476,0.000174102991656775,-0.000846413163119929,0.00188387434652444,-0.000836044837673628,0.00451302608456892,0.000174102991656715,0.208763036210859,0.006395967913534,-0.00469128519632564,-0.173103563424173,-0.374608640981859,-0.000846413163120781,0.00639596791353062,0.02672250807264,0.288729345199244,-0.381299121122971,-0.16981207354611,0.00188387434652539,-0.00469128519632511,0.288729345199193,0.00785551191445932
46,-0.604021975929584,0.0718585150751465,0.000353790280753332,0.00191943545569719,0.154657263525581,0.00743519090015032,0.0718585150751384,-0.606347995348222,-0.000806537444309635,0.0025367326787101,0.0135183104916574,0.155099830089652,0.000353790280753856,-0.000806537444308596,0.22956663956475,0.000116093392730172,-0.00241598588124871,-0.000167282425901107,0.00191943545568901,0.00253673267871008,0.000116093392730146,0.214046788029894,0.00737446145842124,-0.0125236343380898,0.154657263525558,0.0135183104916647,-0.00241598588125055,0.00737446145842433,-0.154582590145764,0.0364417449692879,0.00743519090015016,0.15509983008966,-0.000167282425901566,-0.0125236343380823,0.0364417449692838,-0.169837869548996
47,-0.850709833913487,0.0567165319695418,-0.00101585093102375,-0.00272587416456281,0.165853625582561,0.285301049266642,0.0567165319695414,-0.847829823477764,-0.000634829089579839,9.59534770985775E-05,0.289635646179194,0.165956747615314,-0.00101585093102189,-0.00063482908957947,0.238903343966333,0.00196274365250316,0.000166495139377583,-0.00667240710436392,-0.00272587416456119,9.59534770973212E-05,0.00196274365250434,0.204440482728831,0.00524829943286818,-0.00490637616306409,0.165853625582569,0.289635646179164,0.00016649513938452,0.0052482994328671,0.420040631248485,0.0716421946947252,0.285301049266666,0.165956747615316,-0.00667240710435855,-0.00490637616307501,0.0716421946947353,0.801494428362883
48,-0.56873358339933,0.0632730538481438,-0.00128859541366037,-0.0022001268620343,0.118615368861507,0.20191758126064,0.0632730538481959,-0.555543350253163,-0.00036098025472933,-0.0013619187182971,0.187432810070146,0.114599272919855,-0.0012885954136587,-0.000360980254733409,0.234586326901205,-0.00541560437144991,0.000903679341060088,-0.00118747311176367,-0.00220012686203598,-0.001361918718298,-0.00541560437145069,0.238100064907343,0.00112404159484813,-0.00156788160924229,0.118615368861507,0.187432810070168,0.000903679341059953,0.00112404159484733,0.172132800127247,0.0133701121260258,0.201917581260671,0.11459927291988,-0.00118747311176485,-0.0015678816092445,0.0133701121260281,0.208025294345202
49,-0.717038851168938,3.24905798802407E-05,-0.00111046804718398,-0.000681379648589273,0.06673332870174,0.0731854366756625,3.24905798589643E-05,-0.735288243342048,-0.000558079315003731,-0.00138716275606573,0.0628920400045509,0.0767366485630802,-0.00111046804718532,-0.000558079315001906,0.2373365878115,-0.00671097115440015,-0.000524462203302739,-0.0012948453795032,-0.000681379648596483,-0.00138716275606986,-0.00671097115439998,0.244265125816575,-0.00167276615299556,9.67050712859527E-05,0.0667333287017538,0.0628920400045649,-0.000524462203304831,-0.00167276615299813,-0.285819024371855,-0.0103382204155895,0.0731854366756535,0.0767366485629778,-0.00129484537950112,9.67050712875701E-05,-0.0103382204155903,0.342730506306633
