"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(1,5)) []","re(S(1,6)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(2,5)) []","re(S(2,6)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(3,5)) []","re(S(3,6)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []","re(S(4,5)) []","re(S(4,6)) []","re(S(5,1)) []","re(S(5,2)) []","re(S(5,3)) []","re(S(5,4)) []","re(S(5,5)) []","re(S(5,6)) []","re(S(6,1)) []","re(S(6,2)) []","re(S(6,3)) []","re(S(6,4)) []","re(S(6,5)) []","re(S(6,6)) []"
35,0.0190308407037264,-0.0106249102509967,-0.000569776595177426,0.00049571626175397,-0.155462108382058,-0.0420630352172085,-0.0106249102510039,0.0183357589627534,0.000752680537264606,-0.000622117569678736,-0.0396570570772979,-0.153764841101552,-0.000569776595177043,0.000752680537262251,-0.982623095119696,-0.00019469296312375,0.00161017686091322,-0.000331703667590444,0.00049571626175313,-0.000622117569678728,-0.000194692963123735,-0.983013598296082,-0.000351047510940597,0.002095572687742,-0.155462108382076,-0.0396570570773476,0.00161017686091296,-0.000351047510940426,0.707434205196074,-0.167395361476584,-0.0420630352172147,-0.153764841101551,-0.000331703667590253,0.00209557268774206,-0.167395361476603,0.703704021308551
36,-0.231077656850316,-0.120355453548358,0.000495268009159627,0.000161203718433405,0.110480310913113,0.295860550938518,-0.120355453548344,-0.231309441278652,0.000105458807732226,0.000239457571872002,0.297033431188787,0.111019674908632,0.000495268009163473,0.000105458807732306,-0.98162616719073,-0.000266318125875709,0.00144377192900855,-0.000976583429719671,0.000161203718433349,0.000239457571872035,-0.000266318125875705,-0.98201632699297,-0.00112824821252406,0.0015553316099474,0.110480310913134,0.297033431188786,0.0014437719290096,-0.00112824821252409,0.600904972554161,-0.0302144978099227,0.295860550938526,0.111019674908607,-0.000976583429719667,0.0015553316099473,-0.0302144978100949,0.619136852967524
37,0.211549500578254,0.0260158524234005,-0.000176608611817391,0.000145883851236067,-0.0891169220453041,0.260974619628145,0.0260158524233922,0.213798830447126,7.52540997519875E-05,-0.00143682612085725,0.247900780592101,-0.0847984584121895,-0.000176608611817532,7.52540997503483E-05,-0.98009303155868,-2.91486088262411E-05,0.000427814094268417,-0.000136452768701459,0.000145883851236143,-0.00143682612085746,-2.91486088262412E-05,-0.980939405730307,0.000987846696760433,0.00149206039942496,-0.0891169220453106,0.24790078059208,0.000427814094267326,0.000987846696760396,0.713011603100611,0.122530455840461,0.260974619628177,-0.0847984584121944,-0.000136452768701337,0.0014920603994251,0.122530455840458,0.708957894861853
38,-0.0536787662355004,0.0110997467587294,0.000321839222190258,-0.00102701763653628,-0.0576114650999431,-0.318964093021523,0.0110997467587211,-0.0583559559416175,-8.59105419167728E-05,0.00167631480949598,-0.320806279332312,-0.0529719116734452,0.000321839222189711,-8.59105419167246E-05,-0.97870998434929,-5.85233135560914E-05,0.00070889831544119,-0.000411250111030991,-0.00102701763653635,0.00167631480949566,-5.85233135560932E-05,-0.979729316996842,-0.00279595375772806,0.00388469780644906,-0.0576114650999405,-0.3208062793323,0.000708898315441692,-0.00279595375772745,0.721889000840601,0.0825346900412028,-0.318964093021525,-0.0529719116734458,-0.00041125011103536,0.00388469780644911,0.0825346900412121,0.726273960213413
39,-0.646545957024676,-0.108287792274907,-2.33883938249509E-05,0.00290778267895183,0.29714266760659,-0.637298232404852,-0.108287792274913,-0.612972795380455,0.000538071624438171,0.000617843214752687,-0.594239583928241,0.128389548713756,-2.3388393823912E-05,0.000538071624429088,-0.977816764413592,-9.17412817800885E-05,0.000596376203818666,-0.000558498237600318,0.00290778267895167,0.000617843214752425,-9.17412817801022E-05,-0.978432366767306,-0.00500186893538223,0.0028493315368308,0.297142667607581,-0.594239583928277,0.000596376203818508,-0.005001868935382,0.497431568984016,-0.0394597792563442,-0.637298232404761,0.128389548713059,-0.000558498237599879,0.00284933153683051,-0.0394597792562789,0.495955587414457
40,-0.495102101527563,0.102222835810703,-6.98792694508762E-05,-0.000451094896878816,0.0701132832580245,-0.273517254033177,0.10222283581073,-0.516602028821691,0.000722465926650324,-0.00434665956555041,-0.282837348824254,0.0695389618379323,-6.98792694518741E-05,0.000722465926650792,-0.975852064449468,-0.00016110162802118,-0.000357296255468009,0.00155341166701894,-0.000451094896878417,-0.00434665956555185,-0.000161101628021307,-0.977080245076638,0.00586622313214524,9.92059723817504E-05,0.0701132832579811,-0.282837348824253,-0.000357296255469362,0.00586622313214907,0.522343718939655,-0.289341774276153,-0.273517254033123,0.0695389618380002,0.00155341166700245,9.92059723813829E-05,-0.289341774277057,0.517623221132088
41,0.228268054549581,-0.0678236606890636,2.09068498348989E-05,-0.00759287304913541,-0.0497083099505973,-0.298298878828307,-0.0678236606890553,0.182211980963541,-0.000259718628384799,0.000223560716777118,-0.304745533296269,-0.0472738102236752,2.09068498348981E-05,-0.000259718628380071,-0.975239793597599,-0.000144675452067347,-0.000429166211116118,0.000194605678898909,-0.00759287304913534,0.000223560716777179,-0.000144675452067347,-0.976002369971579,0.00118982996911186,-0.00457906807864578,-0.0497083099505988,-0.304745533296249,-0.000429166211117301,0.00118982996911177,0.642417920119148,0.0570935130538548,-0.298298878828305,-0.047273810223688,0.000194605678899298,-0.00457906807864632,0.0570935130539367,0.662832615952681
42,0.141268047627051,-0.0658298562099155,0.000741261770797251,-0.00440875207231837,0.0947934579133885,0.0377668029488479,-0.0658298562099243,0.146427852911617,-0.000132350323525841,0.00626599544764017,0.0342303284341067,0.0957849395517031,0.000741261770797857,-0.000132350323525453,-0.973795461039051,-6.33578901614956E-05,-0.000382751876816066,0.000235243402798441,-0.00440875207231834,0.0062659954476398,-6.33578901614971E-05,-0.975247174339964,0.00391253843579433,-0.0045184436428238,0.0947934579133904,0.0342303284341126,-0.000382751876815619,0.00391253843579445,0.210364966875381,-0.0984662099950585,0.0377668029488452,0.0957849395517045,0.000235243402797987,-0.00451844364282377,-0.0984662099950785,0.202963470750491
43,0.162528422086728,-0.0422599520583692,0.000250784548093286,-0.000122622536766083,-0.0462277156667121,0.630896776318999,-0.0422599520583652,0.168087152208669,0.000106956132448602,0.00155029314365374,0.630577474888078,-0.0430934739761313,0.000250784548093322,0.000106956132448834,-0.972270391758494,-5.56418231851986E-05,-0.000148404014011515,9.6744772519669E-05,-0.000122622536766151,0.00155029314365348,-5.56418231851939E-05,-0.974122726604912,0.00125243686929811,9.20478460065223E-05,-0.0462277156667152,0.630577474888085,-0.000148404014010656,0.00125243686929833,0.337084100199752,0.0873015550809366,0.630896776319007,-0.0430934739761287,9.67447725203708E-05,9.20478460066556E-05,0.0873015550809408,0.341556101827318
44,0.804466268977462,0.0569403432190962,0.00026251550769745,-0.00141398094493469,-0.0809129669800131,0.150782166328546,0.0569403432190951,0.811598988513348,0.000274762830045705,-0.000202243811709122,0.157954629962203,-0.0809231874198866,0.000262515507698046,0.000274762830044544,-0.970671893087795,-4.64102864207892E-05,-0.000566304347170017,-1.63703653022501E-05,-0.00141398094493465,-0.000202243811707862,-4.64102864208123E-05,-0.972806170630049,0.0063159031896612,-0.00130921229209828,-0.0809129669800098,0.157954629962199,-0.000566304347169467,0.0063159031896635,0.70417318519212,0.0969159315724022,0.150782166328544,-0.0809231874199014,-1.63703653011859E-05,-0.00130921229209902,0.096915931572381,0.701079164061423
