"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(1,5)) []","re(S(1,6)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(2,5)) []","re(S(2,6)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(3,5)) []","re(S(3,6)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []","re(S(4,5)) []","re(S(4,6)) []","re(S(5,1)) []","re(S(5,2)) []","re(S(5,3)) []","re(S(5,4)) []","re(S(5,5)) []","re(S(5,6)) []","re(S(6,1)) []","re(S(6,2)) []","re(S(6,3)) []","re(S(6,4)) []","re(S(6,5)) []","re(S(6,6)) []"
35,-0.139650541166688,0.105325814837228,-0.00110364571046868,-0.000381632017785772,-0.0423916715827265,0.345548451082642,0.105325814837226,-0.141058130335146,-0.00195424560029809,-0.00121115665614605,0.344859611775496,-0.0424830692240335,-0.00110364571046887,-0.00195424560029889,-0.982940116997076,-0.00019177862949521,0.00120834895865392,-0.000742813413563427,-0.0003816320177854,-0.001211156656146,-0.000191778629495204,-0.983399954240628,-0.000985200197819931,0.00151335290061459,-0.0423916715827037,0.344859611775505,0.00120834895865374,-0.000985200197819963,0.748247688516851,0.0858740772265301,0.345548451082636,-0.0424830692240377,-0.000742813413563509,0.00151335290061454,0.0858740772265189,0.759165101475995
36,-0.480302380199051,0.385460292805728,-5.47462800393949E-05,0.00126443247836383,-0.117621221277097,0.427447308916395,0.385460292805782,-0.480411218056982,0.000922404527183319,-0.0004573065979772,0.432308530257302,-0.126545674166488,-5.47462800394293E-05,0.000922404527183317,-0.982002308779977,-0.000254215217492369,0.000292692516494759,-0.000333916396294853,0.00126443247836401,-0.000457306597976883,-0.00025421521749235,-0.982423755466601,-0.000442274918502885,0.00101479238810653,-0.117621221277113,0.432308530257348,0.000292692516495069,-0.000442274918503088,0.641804131137266,0.0327845340610414,0.427447308916436,-0.126545674166504,-0.000333916396295143,0.00101479238810587,0.0327845340610498,0.657366603470466
37,-0.308409175813722,-0.0165711732618489,3.64203743439926E-05,0.000413030833408771,-0.156157093378633,0.44217914898765,-0.0165711732617815,-0.299804286218543,0.000712828714127566,0.000199388518431653,0.433798930146686,-0.144841012017326,3.64203743440783E-05,0.000712828714127855,-0.980805718898386,-0.000305479433291018,0.00327185139332466,-0.000585391017230345,0.000413030833408516,0.000199388518431915,-0.000305479433291038,-0.981342145962593,0.00136559707015876,0.00676057920399052,-0.156157093378646,0.433798930146659,0.00327185139332197,0.00136559707015571,0.477480039796276,-0.0767874945958012,0.442179148987577,-0.144841012017326,-0.000585391017231688,0.00676057920398322,-0.0767874945957367,0.468935031444809
38,-0.0550279048567754,0.0405003436906886,0.000440695720746375,-0.000760659113490979,-0.0874124088497972,-0.459249654959192,0.0405003436906882,-0.0565984508794235,-0.000205300133218241,0.00117200093657344,-0.407108503325779,-0.0799869233662158,0.000440695720746502,-0.000205300133218074,-0.980704761564674,-0.000443988109348102,0.00300108287841324,-0.000888361827347174,-0.000760659113490878,0.00117200093657357,-0.000443988109349737,-0.980179481386211,-0.00115244817967894,0.00295411194414129,-0.0874124088497986,-0.407108503325578,0.00300108287841662,-0.00115244817967912,0.615726825175052,0.150503142184488,-0.459249654959549,-0.0799869233662081,-0.000888361827347237,0.00295411194414077,0.15050314218448,0.60954207068972
39,-0.195226069478175,-0.347525843999965,5.56067768546845E-05,0.00102772397363321,-0.197743281678478,-0.290247377883548,-0.347525843999958,-0.199855505558305,0.000175165715454376,0.00157247618129799,-0.258801734769105,-0.186375972210342,5.56067768553132E-05,0.000175165715454387,-0.978117290768012,-0.000101099940869311,0.000639555521957637,-0.000733174309913875,0.00102772397363264,0.00157247618129845,-0.000101099940869343,-0.978887873913124,-0.0020918671598623,0.00408299523236254,-0.197743281678515,-0.258801734768995,0.0006395555219581,-0.00209186715986275,0.48140886710548,-0.0768349037781463,-0.290247377883492,-0.186375972210354,-0.00073317430991359,0.00408299523236251,-0.0768349037781537,0.460391524915566
40,-0.904990198659255,-0.0868874673831043,-8.85493453888912E-05,0.00630864695599222,-0.0219180861544347,-0.265671160761504,-0.0868874673831021,-0.904097184632231,0.000498592727428589,-0.00319722390609084,-0.263383191976639,-0.018567665837893,-8.85493453889215E-05,0.000498592727428663,-0.97692609490924,-0.000140527299152157,9.55814664257502E-05,4.79215887990571E-05,0.00630864695599489,-0.00319722390609051,-0.00014052729915211,-0.977523233267327,0.0117143794240681,0.00250336391409211,-0.021918086154424,-0.263383191976579,9.55814664259818E-05,0.011714379424062,0.916318455164332,0.0283090771723381,-0.265671160760554,-0.0185676658379042,4.79215887986612E-05,0.00250336391409194,0.0283090771723454,0.914007214322066
41,-0.569785234555633,-0.43671114102711,-0.00162444195671209,0.00415465469949098,-0.129189782753576,-0.203606632175899,-0.436711141027132,-0.562104663987274,0.000624546418736788,-0.00407406580969836,-0.19830410198688,-0.149506726186401,-0.00162444195671295,0.000624546418736353,-0.97441537778122,-0.000165993798090396,-0.000620670514347682,-0.000286489122474434,0.00415465469949005,-0.00407406580969857,-0.000165993798090367,-0.976389721725146,-0.00192436402665355,0.00578831551287621,-0.129189782753559,-0.198304101986823,-0.000620670514346587,-0.0019243640266533,0.738440386927072,-0.0107011844822444,-0.203606632175962,-0.149506726186385,-0.000286489122474876,0.00578831551285342,-0.0107011844824495,0.745641275902065
42,-0.0543410030739346,-0.0314769010649006,0.00123501872703349,-0.00292752954992977,-0.0853907320281606,-0.313035953226557,-0.0314769010649003,-0.0374734425383229,0.00011927851977234,0.00319866078898693,-0.290368942725329,-0.0864271466277846,0.00123501872703251,0.000119278519772808,-0.972802581286158,-0.00014983527316992,0.00136370889558193,-0.00153984358177181,-0.00292752954993108,0.00319866078898617,-0.000149835273169876,-0.975627460156261,0.00324489220191367,-0.000723745076503404,-0.0853907320281582,-0.290368942725555,0.00136370889557777,0.00324489220191415,0.684115573702339,0.0892666166272513,-0.313035953226599,-0.0864271466277821,-0.00153984358178125,-0.000723745076501547,0.0892666166272775,0.683444180080957
43,0.520497551462331,0.0233046888714694,0.000656065449544654,-0.00116984395875421,-0.0663605526703158,-0.236909725303443,0.0233046888714722,0.532322346799034,0.000174644799819353,0.000206552619700364,-0.257265325623877,-0.0663040739506797,0.000656065449545033,0.000174644799819701,-0.972045796438919,-8.8976708445859E-05,-0.000459258774694732,0.000353980142477693,-0.00116984395875443,0.000206552619700278,-8.89767084457961E-05,-0.974787759985695,0.00633360000128893,-0.000851292299348963,-0.0663605526703084,-0.257265325624376,-0.000459258774698785,0.00633360000128912,0.709989708931569,0.0862907533745484,-0.236909725304094,-0.0663040739506817,0.000353980142479143,-0.000851292299348451,0.0862907533745526,0.708909324513702
44,0.67067590148371,0.00599234352228309,0.000558997128524431,-0.00117278560835208,-0.0639393519202667,0.162355864038071,0.00599234352229352,0.670386211033018,0.000284196106606294,-0.000690327094183962,0.161672731771674,-0.0633718495219988,0.000558997128524053,0.000284196106606514,-0.971046766147781,-6.00666641146211E-05,-0.000681714716700143,0.000322961413098217,-0.00117278560835358,-0.000690327094183878,-6.00666641145953E-05,-0.9735959007972,0.00634422987479718,-0.00188460199363849,-0.0639393519202591,0.161672731771683,-0.000681714716699566,0.00634422987479861,0.699892835324772,0.079865660240578,0.162355864038071,-0.0633718495220041,0.000322961413098464,-0.00188460199363936,0.0798656602405832,0.699479598837704
