"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(1,5)) []","im(S(1,6)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(2,5)) []","im(S(2,6)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(3,5)) []","im(S(3,6)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []","im(S(4,5)) []","im(S(4,6)) []","im(S(5,1)) []","im(S(5,2)) []","im(S(5,3)) []","im(S(5,4)) []","im(S(5,5)) []","im(S(5,6)) []","im(S(6,1)) []","im(S(6,2)) []","im(S(6,3)) []","im(S(6,4)) []","im(S(6,5)) []","im(S(6,6)) []"
35,-0.881698885673404,0.0656409634206835,-0.00105160005268288,-0.00228346638909838,-0.100617801053016,0.176437797471296,0.0656409634206797,-0.881168633506955,-0.0024740196289406,-0.000873548889095769,0.173841230293136,-0.103828949103036,-0.00105160005268593,-0.00247401962893994,0.162905171117784,6.7112369441693E-05,-0.00196375131671725,-0.000367610402634049,-0.0022834663890982,-0.000873548889095464,6.71123694417034E-05,0.161114630406784,-0.000218514127617398,-0.0020074933665622,-0.100617801053048,0.173841230293109,-0.00196375131671754,-0.000218514127617717,0.243001817406219,-0.197423978909026,0.176437797471295,-0.103828949103035,-0.000367610402634301,-0.00200749336656208,-0.197423978908904,0.23978055643119
36,-0.791682732844451,0.13778171151438,-0.000384935222626337,-0.000513163255762,-0.00802730517575839,0.195762944069817,0.137781711514378,-0.796162471813723,-0.000446446108842073,-0.000257915790606581,0.191728803839529,-0.00733319994162392,-0.000384935222624766,-0.000446446108841884,0.167772668756032,5.20408462696628E-05,-0.00142592620320627,0.000868572643261767,-0.000513163255762,-0.0002579157906065,5.20408462696202E-05,0.166098603225128,0.000959663397665202,-0.000995389529920112,-0.00802730517575001,0.19172880383953,-0.00142592620320617,0.000959663397665286,-0.0980101132596991,-0.0903195563540321,0.195762944069819,-0.00733319994161998,0.000868572643261546,-0.00099538952992013,-0.0903195563540634,-0.125604088031428
37,-0.751636918170922,-0.0314607949739206,0.000134457500507399,0.000171076612046209,0.00139863944463728,0.0645762859861591,-0.0314607949739449,-0.75475931757923,8.30087438429384E-05,0.00165076967923659,0.0562610904177025,0.00167923679099324,0.000134457500507321,8.30087438450932E-05,0.179722991787909,-5.19976726211582E-05,-0.000331886881427844,0.000202658557318424,0.000171076612046561,0.00165076967923661,-5.19976726211477E-05,0.171133239588962,0.00133677535891718,-0.00264342388984843,0.0013986394446822,0.0562610904176779,-0.000331886881427937,0.00133677535891721,-0.32423284143864,0.0257495226469074,0.0645762859862448,0.00167923679099191,0.000202658557318774,-0.00264342388984832,0.0257495226469086,-0.330979363456775
38,-0.799131472156225,-0.0131374555813017,-3.09943627790753E-05,-0.000253746729292584,0.0728334468453764,-0.415852347821734,-0.0131374555812942,-0.803609898059721,-9.84575778050711E-05,-0.0013294028594046,-0.410514757131455,0.0760790261978117,-3.09943627796167E-05,-9.84575778048052E-05,0.184851667034191,-6.61844130823742E-05,-0.000240387138984051,0.000585841035278429,-0.000253746729292416,-0.00132940285940466,-6.61844130823739E-05,0.176189574472848,0.00276022233054091,-0.0025293667367733,0.0728334468453694,-0.410514757131453,-0.000240387138984235,0.00276022233054074,0.186037960279829,-0.216223493436389,-0.415852347821742,0.0760790261978174,0.000585841035281917,-0.00252936673677293,-0.216223493436392,0.189815361103423
39,0.139046827009677,-0.330167883880254,0.000314271708565909,-0.00084290905937238,0.27211924149942,0.194056706956033,-0.330167883880218,0.034232255523953,-0.000288262320216239,0.006824345995563,0.131829330585932,0.131062161438932,0.000314271708567049,-0.000288262320230962,0.190326486959525,-5.13457136903597E-05,-1.64454797804659E-05,0.000292381519999911,-0.000842909059371902,0.00682434599555762,-5.1345713690378E-05,0.181145147873507,-0.000649093086931923,-0.000367419384353627,0.272119241499516,0.131829330585937,-1.64454797807808E-05,-0.00064909308693226,0.425552456248485,-0.028415761429963,0.194056706955934,0.131062161438861,0.000292381520000044,-0.000367419384353316,-0.0284157614299566,0.422541191427271
40,-0.283247342647128,-0.13339019022179,-0.000965610947979989,0.00178003664508468,-0.11146676520594,0.204877059734113,-0.133390190221846,-0.284682338260591,0.000478233533151506,-0.00138570850563677,0.195099052372913,-0.114035834759057,-0.000965610947979703,0.000478233533151859,0.195427407339139,7.00070137817426E-06,-0.000630362269777639,0.00205059794529019,0.00178003664508512,-0.00138570850564327,7.0007013783139E-06,0.18606294358598,0.00642707810255169,-0.00563980868615374,-0.111466765205896,0.195099052372984,-0.000630362269791634,0.00642707810254829,0.078486919011867,-0.200095456559405,0.204877059734063,-0.114035834759078,0.00205059794527601,-0.00563980868615347,-0.200095456559909,0.0839447617492878
41,0.48488481136626,0.194951632481129,0.000944636433630473,-0.0121649702847149,0.0480793608307501,0.252945236637382,0.19495163248111,0.533080885814809,-0.0010399646085281,0.00738744008204113,0.263349235930258,0.0465351046035736,0.000944636433630134,-0.00103996460851204,0.201472781088422,1.61906615585509E-05,-0.000737807483181829,0.000705758017542438,-0.0121649702847154,0.0073874400820406,1.61906615585574E-05,0.190719412171856,0.0016292206335109,-0.00556391665327053,0.0480793608307409,0.26334923593027,-0.000737807483183318,0.00162922063351103,-0.165054568835441,0.0138716295145606,0.252945236637384,0.0465351046035543,0.000705758017541779,-0.00556391665327041,0.0138716295144652,-0.194180160219134
42,0.405288010466968,0.0212692560395582,0.000806207748698052,-0.00782303670188208,0.0499959019246915,0.704602461423216,0.0212692560395652,0.403292282625431,-0.000964483277946035,0.00649091947695621,0.702936886476113,0.0553543914090491,0.00080620774869723,-0.000964483277946034,0.208321598978237,7.05356202836353E-05,-0.000459416254918457,0.00120794616196309,-0.00782303670188124,0.00649091947695537,7.0535620283664E-05,0.195796558464319,0.0063895840128594,-0.00339382477906643,0.0499959019246906,0.702936886476134,-0.000459416254918242,0.00638958401285942,-0.335636469718022,0.023473943782327,0.704602461423221,0.0553543914090512,0.00120794616196272,-0.00339382477906668,0.0234739437823235,-0.324633344787845
43,0.528170337626885,0.0905412825867193,0.000288569291878743,-0.000395965470586472,0.00687889404665525,-0.167830821564555,0.0905412825867205,0.52430788250876,9.47026177188803E-05,0.00140014549132288,-0.168144854170163,0.00223693616067093,0.000288569291878346,9.47026177192893E-05,0.214065671458666,9.35533775852613E-05,-0.00024458493198292,-0.000177413429694776,-0.000395965470586878,0.00140014549132252,9.35533775852824E-05,0.200736812707509,0.00103612386557542,-0.00187786978258947,0.0068788940466568,-0.168144854170186,-0.000244584931982487,0.00103612386557504,0.493766421229448,-0.096005386609315,-0.167830821564571,0.00223693616067377,-0.000177413429695986,-0.00187786978258922,-0.0960053866093059,0.481688057276283
44,0.0314877522776912,-0.036209579542302,-0.000160969208551299,0.000548635108505246,0.0377811137609361,-0.439961255813209,-0.0362095795423056,0.0318736152364606,0.000221297615014543,-0.001875190369754,-0.437952559240399,0.0369972881213892,-0.000160969208551374,0.000221297615013952,0.2191564250835,8.86822424355794E-05,-0.000418763134364895,0.00054586151353345,0.000548635108507287,-0.00187519036975568,8.86822424355821E-05,0.206080671966958,0.00267452174136629,-0.00352053801132834,0.0377811137609539,-0.437952559240379,-0.000418763134364226,0.00267452174136725,0.306608651248817,-0.0958739473154088,-0.439961255813212,0.0369972881213424,0.000545861513532309,-0.00352053801132785,-0.0958739473154371,0.305517821642224
